ID,PDF_File,Category,Page,Product_Title,Price_Formatted,Raw_Price,Line_Text
FURN-00147,DINNING PRICELIST -AUG26 .pdf,dining,18,21,₹0,0,21000/- | BLACK - 21000/-
FURN-00148,DINNING PRICELIST -AUG26 .pdf,dining,18,14,₹500,500,14500/-
FURN-00149,DINNING PRICELIST -AUG26 .pdf,dining,18,23,₹0,0,23000/-
FURN-00150,DINNING PRICELIST -AUG26 .pdf,dining,19,13,₹750,750,13750/-
FURN-00151,DINNING PRICELIST -AUG26 .pdf,dining,19,10,₹750,750,10750/-
FURN-00152,DINNING PRICELIST -AUG26 .pdf,dining,19,11,₹0,0,11000/-
FURN-00153,DINNING PRICELIST -AUG26 .pdf,dining,20,15,₹0,0,15000/-
FURN-00154,DINNING PRICELIST -AUG26 .pdf,dining,20,15,₹0,0,15000/-
FURN-00155,DINNING PRICELIST -AUG26 .pdf,dining,20,16,₹0,0,16000/-
FURN-00156,DINNING PRICELIST -AUG26 .pdf,dining,21,21,₹0,0,21000/-
FURN-00157,DINNING PRICELIST -AUG26 .pdf,dining,21,15,₹0,0,15000/-
FURN-00158,DINNING PRICELIST -AUG26 .pdf,dining,21,15,₹0,0,15000/-
FURN-00159,DINNING PRICELIST -AUG26 .pdf,dining,22,Dining Chairs,"₹5,600",5600,"DINING CHAIRS | PEPPER | ₹5,600"
FURN-00160,DINNING PRICELIST -AUG26 .pdf,dining,23,12,₹250,250,12250/-
FURN-00161,DINNING PRICELIST -AUG26 .pdf,dining,23,11,₹500,500,11500/-
FURN-00162,DINNING PRICELIST -AUG26 .pdf,dining,24,Dining Chairs,"₹6,300",6300,"DINING CHAIRS | IRIS (IND) | ₹6,300"
FURN-00163,DINNING PRICELIST -AUG26 .pdf,dining,25,13,₹500,500,13500/-
FURN-00164,DINNING PRICELIST -AUG26 .pdf,dining,25,10,₹500,500,10500/-
FURN-00165,DINNING PRICELIST -AUG26 .pdf,dining,26,13,₹0,0,13000/-
FURN-00166,DINNING PRICELIST -AUG26 .pdf,dining,26,12,₹0,0,12000/-
FURN-00167,DINNING PRICELIST -AUG26 .pdf,dining,26,14,₹500,500,14500/-
FURN-00168,DINNING PRICELIST -AUG26 .pdf,dining,27,11,₹0,0,11000/-
FURN-00169,DINNING PRICELIST -AUG26 .pdf,dining,28,23,₹0,0,23000/-
FURN-00170,DINNING PRICELIST -AUG26 .pdf,dining,28,14,₹0,0,14000/-
FURN-00171,DINNING PRICELIST -AUG26 .pdf,dining,29,Chairs.,Price on Request,0,CHAIRS. | MY CHAIR MY PRIDE | Price on Request
FURN-00172,EXECUTIVE PRICELIST-AUG26.pdf,executive,1,Executive,"₹2,026",2026,"EXECUTIVE | 工一尺 | ₹2,026"
FURN-00173,EXECUTIVE PRICELIST-AUG26.pdf,executive,2,81,₹0,0,: 81000/- | MB : 79000/-
FURN-00174,EXECUTIVE PRICELIST-AUG26.pdf,executive,2,76,₹0,0,: 76000/- | MB : 74000/-
FURN-00175,EXECUTIVE PRICELIST-AUG26.pdf,executive,2,- 130,₹0,0,- 130000/-
FURN-00176,EXECUTIVE PRICELIST-AUG26.pdf,executive,3,35,₹0,0,: 35000/-
FURN-00177,EXECUTIVE PRICELIST-AUG26.pdf,executive,3,34,₹0,0,: 34000/-
FURN-00178,EXECUTIVE PRICELIST-AUG26.pdf,executive,3,35,₹0,0,: 35000/-
FURN-00179,EXECUTIVE PRICELIST-AUG26.pdf,executive,3,34,₹0,0,: 34000/-
FURN-00180,EXECUTIVE PRICELIST-AUG26.pdf,executive,4,40,₹0,0,: 40000/-
FURN-00181,EXECUTIVE PRICELIST-AUG26.pdf,executive,4,38,₹0,0,: 38000/-
FURN-00182,EXECUTIVE PRICELIST-AUG26.pdf,executive,4,40,₹0,0,: 40000/-
FURN-00183,EXECUTIVE PRICELIST-AUG26.pdf,executive,4,38,₹0,0,: 38000/-
FURN-00184,EXECUTIVE PRICELIST-AUG26.pdf,executive,5,31,₹0,0,: 31000/-
FURN-00185,EXECUTIVE PRICELIST-AUG26.pdf,executive,5,29,₹0,0,: 29000/-
FURN-00186,EXECUTIVE PRICELIST-AUG26.pdf,executive,5,29,₹0,0,: 29000/-
FURN-00187,EXECUTIVE PRICELIST-AUG26.pdf,executive,5,28,₹0,0,: 28000/-
FURN-00188,EXECUTIVE PRICELIST-AUG26.pdf,executive,6,30,₹500,500,: 30500/-
FURN-00189,EXECUTIVE PRICELIST-AUG26.pdf,executive,6,28,₹500,500,: 28500/-
FURN-00190,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,24,₹500,500,: 24500/- | MB : 23500/-
FURN-00191,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,23,₹500,500,: 23500/-  | MB : 22500/-
FURN-00192,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,32,₹0,0,: 32000/-
FURN-00193,EXECUTIVE PRICELIST-AUG26.pdf,executive,7,31,₹0,0,: 31000/-
