ID,Folder,PDF_File,Category,Page,Product_Title,Description,Price_Formatted,Raw_Price,Extraction_Method,Line_Text
FURN-00122,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,9,14,,₹0,0,text_regex,14000/-
FURN-00123,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,10,11,,₹500,500,text_regex,11500/-
FURN-00124,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,10,18,,₹500,500,text_regex,18500/-
FURN-00125,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,10,12,,₹500,500,text_regex,12500/-
FURN-00126,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,11,34,,₹0,0,text_regex,34000/-
FURN-00127,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,11,22,,₹0,0,text_regex,22000/-
FURN-00128,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,11,42,,₹0,0,text_regex,42000/-
FURN-00129,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,12,23,,₹0,0,text_regex,23000/-
FURN-00130,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,12,17,,₹200,200,text_regex,17200/-
FURN-00131,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,12,16,,₹0,0,text_regex,16000/-
FURN-00132,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,13,18,,₹800,800,text_regex,18800/-
FURN-00133,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,13,23,,₹500,500,text_regex,23500/-
FURN-00134,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,13,23,,₹0,0,text_regex,23000/-
FURN-00135,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,14,21,,₹500,500,text_regex,21500/-
